DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            52.136              52.735            -0.599         2.493
RESSURF           14.950              14.771             0.179         3.374
SOLIN            413.168             413.168             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.594              -0.593            -0.002         0.523
CLDHGH            37.943              37.921             0.021         1.762
CLDLOW            27.199              27.579            -0.380         1.385
CLDMED            17.503              17.472             0.031         1.560
CLDTOT            52.755              53.127            -0.372         1.572
EKE_850           11.905              11.335             0.570         1.528
EP            -1.075e-01          -1.014e-01        -6.123e-03         0.527
FLNS              55.127              53.515             1.612         2.085
FLNSC             71.073              68.766             2.306         2.630
FLNT             241.623             243.640            -2.017         3.234
FLNTC            281.497             283.720            -2.222         2.379
FSDS             217.214             218.647            -1.433         3.858
FSDSC            292.469             295.219            -2.749         2.799
FSNS             201.427             202.770            -1.343         3.619
FSNSC            272.238             274.834            -2.596         2.647
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       245.826             248.077            -2.251         2.370
FSNT             293.759             296.376            -2.617         4.101
FSNTC            361.445             365.679            -4.234         4.270
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            114.979             118.152            -3.172         5.248
LWCF              39.874              40.079            -0.205         1.987
PRECT              4.094               4.197            -0.103         0.509
PRECT_LAND         4.346               4.411            -0.065         0.361
PRECT_OCEAN        4.009               4.123            -0.114         0.548
PREH2O            40.566              43.111            -2.545         2.786
PREH2O_OCEAN      42.687              45.382            -2.696         2.912
PSI_200            1.542               1.518             0.024         0.102
PS               995.017             995.057            -0.039         0.188
PSL             1009.757            1009.776            -0.019         0.171
QFLX               3.986               4.095            -0.109         0.150
SHFLX             16.371              16.333             0.038         1.431
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.176              27.906            -0.730         0.738
STRESS_MAG         0.057               0.057            -0.000         0.004
SWCF             -67.686             -69.304             1.617         3.647
T_850            289.776             290.632            -0.856         0.862
TGCLDLWP         138.066             140.391            -2.325        10.609
TGCLDIWP          12.574              12.249             0.325         0.987
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.611             299.416            -0.805         0.817
TS               299.553             300.338            -0.785         0.800
TS_LAND          296.925             297.893            -0.968         0.979
U_200              4.212               3.963             0.248         0.976
VT_850            -2.182              -2.250             0.068         0.414
Z3_500            58.439              58.650            -0.211         0.211
