DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             1.492               2.135            -0.643         2.180
RESSURF           -0.965              -0.426            -0.539         4.136
SOLIN            338.254             338.254             0.000         0.000
AAM            1.545e+26           1.572e+26        -2.720e+24      -999.000
CHI_200            0.004               0.004             0.001         0.271
CLDHGH            28.865              28.724             0.141         1.509
CLDLOW            30.934              31.516            -0.582         1.474
CLDMED            15.964              15.723             0.241         1.361
CLDTOT            49.305              49.639            -0.334         1.593
EKE_850           28.876              28.139             0.737         1.540
EP             1.792e-02           1.925e-02        -1.338e-03         0.386
FLNS              60.751              59.714             1.037         1.868
FLNSC             82.850              81.490             1.360         2.089
FLNT             231.943             234.099            -2.156         2.897
FLNTC            260.979             263.246            -2.267         2.444
FSDS             183.451             184.720            -1.269         3.261
FSDSC            240.866             243.512            -2.646         2.827
FSNS             159.349             160.826            -1.477         3.251
FSNSC            211.071             213.760            -2.689         3.559
FSNSC_ICE         38.154              39.782            -1.627         4.727
FSNSC_LAND       187.645             190.291            -2.645         3.687
FSNT             233.435             236.235            -2.799         3.933
FSNTC            281.477             285.716            -4.240         4.850
ICEAREA           23.575              21.697             1.878         0.065
LHFLX             81.554              83.568            -2.014         4.312
LWCF              29.036              29.147            -0.111         1.460
PRECT              2.773               2.843            -0.069         0.367
PRECT_LAND         2.234               2.289            -0.055         0.242
PRECT_OCEAN        3.116               3.187            -0.071         0.422
PREH2O            25.541              27.185            -1.643         2.018
PREH2O_OCEAN      30.214              31.967            -1.753         2.238
PSI_200           -0.020              -0.021             0.001         0.165
PS               985.390             985.552            -0.161         0.507
PSL             1011.139            1011.252            -0.113         0.494
QFLX               2.791               2.862            -0.071         0.125
SHFLX             18.008              17.970             0.038         1.792
SNOWHLND          12.589              12.271             0.318         2.857
SST               20.676              21.379            -0.704         0.731
STRESS_MAG         0.065               0.065            -0.001         0.005
SWCF             -48.042             -49.482             1.440         3.131
T_850            281.796             282.676            -0.880         0.920
TGCLDLWP         127.879             130.163            -2.284         9.424
TGCLDIWP          17.750              17.346             0.404         1.082
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.721             288.587            -0.866         0.939
TS               288.460             289.319            -0.858         0.948
TS_LAND          282.180             283.244            -1.064         1.160
U_200             16.701              16.977            -0.276         0.963
VT_850             0.164               0.166            -0.002         0.582
Z3_500            56.684              56.897            -0.213         0.222
