DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM          -104.133            -104.640             0.508         2.006
RESSURF          -75.952             -75.868            -0.083         7.914
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.457               3.617            -0.160         0.371
CLDHGH            25.962              25.429             0.533         2.015
CLDLOW            27.183              27.691            -0.508         1.404
CLDMED            17.471              17.045             0.426         1.162
CLDTOT            44.650              44.482             0.168         1.884
EKE_850           43.748              43.352             0.396         1.719
EP             1.429e-01           1.449e-01        -2.002e-03         0.204
FLNS              64.929              64.811             0.118         1.711
FLNSC             88.103              87.937             0.165         1.748
FLNT             211.177             213.810            -2.633         3.132
FLNTC            233.846             236.499            -2.654         2.917
FSDS              89.532              90.940            -1.408         2.275
FSDSC            114.352             116.558            -2.206         2.462
FSNS              72.771              74.160            -1.388         2.303
FSNSC             93.887              95.916            -2.029         2.604
FSNSC_ICE          1.914               1.511             0.403         0.399
FSNSC_LAND        75.881              78.063            -2.183         3.023
FSNT             107.044             109.169            -2.125         2.767
FSNTC            127.205             130.159            -2.953         3.432
ICEAREA           14.097              13.517             0.580         0.051
LHFLX             66.548              68.150            -1.601         5.323
LWCF              22.669              22.690            -0.021         1.225
PRECT              2.086               2.141            -0.055         0.199
PRECT_LAND         1.074               1.108            -0.034         0.128
PRECT_OCEAN        3.421               3.492            -0.071         0.264
PREH2O            11.465              12.180            -0.715         0.980
PREH2O_OCEAN      18.226              19.249            -1.023         1.355
PSI_200           -8.182              -8.263             0.081         0.161
PS               977.058             977.448            -0.390         0.833
PSL             1017.388            1017.676            -0.288         0.810
QFLX               2.229               2.286            -0.057         0.170
SHFLX             17.245              17.067             0.178         3.472
SNOWHLND           6.099               5.588             0.511         3.983
SST               16.186              16.829            -0.643         0.731
STRESS_MAG         0.075               0.076            -0.001         0.008
SWCF             -20.161             -20.989             0.828         1.520
T_850            270.801             271.632            -0.831         0.897
TGCLDLWP         119.778             123.207            -3.429         8.711
TGCLDIWP          23.901              23.544             0.356         1.313
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           273.737             274.711            -0.975         1.144
TS               274.223             275.195            -0.971         1.180
TS_LAND          265.175             266.229            -1.054         1.216
U_200             25.474              25.795            -0.321         1.204
VT_850             0.425               0.404             0.021         0.720
Z3_500            55.090              55.309            -0.220         0.230
