DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -68.344             -68.414             0.070         1.050
RESSURF          -43.934             -43.746            -0.188         3.692
SOLIN            232.634             232.634             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.741              -0.776             0.035         0.200
CLDHGH            24.205              24.126             0.079         1.023
CLDLOW            38.620              39.143            -0.523         1.341
CLDMED            16.294              16.000             0.294         0.836
CLDTOT            51.966              52.302            -0.335         1.251
EKE_850           43.080              42.017             1.063         1.779
EP             1.312e-01           1.457e-01        -1.447e-02         0.210
FLNS              58.646              57.817             0.829         1.429
FLNSC             86.468              85.394             1.074         1.731
FLNT             225.525             227.647            -2.123         2.453
FLNTC            249.954             252.121            -2.167         2.254
FSDS             120.491             121.623            -1.132         2.135
FSDSC            164.306             166.451            -2.145         2.190
FSNS             108.138             109.284            -1.146         1.939
FSNSC            147.602             149.570            -1.968         2.293
FSNSC_ICE         21.076              21.135            -0.059         4.229
FSNSC_LAND       102.395             103.386            -0.992         1.261
FSNT             157.181             159.233            -2.052         2.534
FSNTC            194.306             197.375            -3.070         3.296
ICEAREA            9.038               7.714             1.324         0.075
LHFLX             81.001              83.064            -2.063         3.518
LWCF              24.430              24.474            -0.044         1.029
PRECT              2.610               2.667            -0.057         0.195
PRECT_LAND         1.538               1.579            -0.041         0.156
PRECT_OCEAN        2.884               2.936            -0.051         0.203
PREH2O            19.072              20.265            -1.193         1.385
PREH2O_OCEAN      21.508              22.638            -1.130         1.459
PSI_200            7.591               7.755            -0.164         0.187
PS               983.422             983.450            -0.028         0.397
PSL             1007.279            1007.270             0.009         0.409
QFLX               2.741               2.813            -0.071         0.107
SHFLX             12.425              12.149             0.276         1.725
SNOWHLND          46.963              46.909             0.054         1.186
SST               15.953              16.688            -0.734         0.747
STRESS_MAG         0.090               0.092            -0.001         0.005
SWCF             -37.125             -38.142             1.017         1.864
T_850            277.175             278.009            -0.834         0.843
TGCLDLWP         146.265             148.799            -2.535         7.787
TGCLDIWP          20.767              20.325             0.441         0.987
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.084             282.942            -0.858         0.903
TS               282.708             283.556            -0.848         0.913
TS_LAND          264.095             265.026            -0.931         0.960
U_200             24.117              24.616            -0.499         0.815
VT_850            -0.151              -0.139            -0.011         0.516
Z3_500            55.386              55.577            -0.191         0.198
