DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -21.755             -20.981            -0.774         1.505
RESSURF           -4.357              -3.497            -0.860         2.479
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.566               0.568            -0.002         0.151
CLDHGH            25.524              25.415             0.108         0.752
CLDLOW            39.230              39.766            -0.536         1.227
CLDMED            15.869              15.580             0.289         0.611
CLDTOT            53.386              53.699            -0.313         1.091
EKE_850           44.639              43.949             0.690         1.159
EP             1.013e-01           1.115e-01        -1.018e-02         0.120
FLNS              59.876              59.144             0.732         1.189
FLNSC             88.642              87.746             0.896         1.373
FLNT             224.267             226.282            -2.016         2.228
FLNTC            248.575             250.677            -2.102         2.151
FSDS             165.193             166.429            -1.236         2.448
FSDSC            222.789             225.504            -2.715         2.802
FSNS             140.197             141.881            -1.685         2.333
FSNSC            191.120             194.153            -3.033         3.910
FSNSC_ICE         59.437              60.711            -1.275         4.919
FSNSC_LAND       128.230             129.595            -1.366         1.597
FSNT             202.512             205.302            -2.790         3.164
FSNTC            248.752             253.063            -4.311         4.922
ICEAREA           12.207              10.888             1.318         0.060
LHFLX             72.075              73.825            -1.750         2.598
LWCF              24.308              24.395            -0.087         0.733
PRECT              2.336               2.387            -0.051         0.121
PRECT_LAND         1.646               1.692            -0.045         0.119
PRECT_OCEAN        2.538               2.582            -0.044         0.121
PREH2O            17.343              18.392            -1.049         1.200
PREH2O_OCEAN      19.865              20.868            -1.003         1.271
PSI_200            7.216               7.340            -0.123         0.147
PS               983.354             983.481            -0.127         0.268
PSL             1007.070            1007.156            -0.087         0.253
QFLX               2.438               2.499            -0.061         0.084
SHFLX             12.602              12.409             0.193         1.334
SNOWHLND          46.984              46.939             0.046         1.043
SST               14.961              15.666            -0.705         0.714
STRESS_MAG         0.091               0.092            -0.000         0.002
SWCF             -46.240             -47.762             1.522         2.463
T_850            276.165             276.977            -0.812         0.821
TGCLDLWP         142.326             144.767            -2.441         6.052
TGCLDIWP          20.536              20.132             0.405         0.799
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.187             281.997            -0.810         0.833
TS               281.753             282.555            -0.803         0.836
TS_LAND          266.278             267.261            -0.983         0.998
U_200             25.160              25.612            -0.452         0.667
VT_850            -0.216              -0.207            -0.008         0.309
Z3_500            55.176              55.370            -0.193         0.197
