DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            16.081              17.507            -1.426         2.824
RESSURF           16.743              18.207            -1.464         5.243
SOLIN            367.642             367.642             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.324               1.412            -0.088         0.202
CLDHGH            24.702              24.297             0.405         1.826
CLDLOW            27.328              27.883            -0.555         1.612
CLDMED            15.390              14.950             0.440         1.161
CLDTOT            43.718              43.784            -0.067         1.808
EKE_850           34.114              33.517             0.597         1.659
EP             2.277e-02           2.388e-02        -1.105e-03         0.205
FLNS              70.208              69.909             0.300         1.801
FLNSC             93.117              92.693             0.424         1.576
FLNT             226.703             229.212            -2.509         3.041
FLNTC            249.755             252.272            -2.516         2.753
FSDS             207.634             209.225            -1.591         3.467
FSDSC            264.905             267.996            -3.091         3.363
FSNS             163.559             165.822            -2.263         3.771
FSNSC            212.127             215.646            -3.520         5.070
FSNSC_ICE         47.480              48.388            -0.908         4.940
FSNSC_LAND       190.878             194.350            -3.472         4.653
FSNT             242.784             246.719            -3.935         4.763
FSNTC            286.113             291.496            -5.384         6.423
ICEAREA           14.538              13.983             0.554         0.052
LHFLX             52.409              53.331            -0.922         3.837
LWCF              23.053              23.060            -0.007         1.277
PRECT              1.752               1.785            -0.033         0.184
PRECT_LAND         1.485               1.529            -0.044         0.188
PRECT_OCEAN        2.224               2.243            -0.020         0.193
PREH2O            14.589              15.509            -0.921         1.125
PREH2O_OCEAN      20.186              21.305            -1.118         1.403
PSI_200           -7.817              -7.976             0.159         0.207
PS               976.935             977.287            -0.352         0.766
PSL             1015.891            1016.156            -0.264         0.740
QFLX               1.775               1.809            -0.034         0.118
SHFLX             24.199              24.375            -0.177         2.320
SNOWHLND           6.816               6.235             0.581         3.865
SST               16.122              16.772            -0.650         0.738
STRESS_MAG         0.046               0.046             0.000         0.006
SWCF             -43.328             -44.777             1.449         3.125
T_850            276.720             277.657            -0.937         1.030
TGCLDLWP         115.370             116.992            -1.621         8.057
TGCLDIWP          20.676              20.196             0.480         1.280
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.391             282.330            -0.938         1.077
TS               281.912             282.858            -0.946         1.103
TS_LAND          280.229             281.353            -1.124         1.272
U_200             21.028              21.149            -0.120         1.286
VT_850             0.464               0.453             0.011         0.799
Z3_500            56.018              56.246            -0.229         0.246
